Gris ID;Sår ID;Tid;Niveau sårvæv;Sårskorpe;Granulationsvæv;Epithelialisering;Kontraktion;Hyperæmi;Ødem;Eksudat;Eksudattype;Infektionsniveau;;;;;;;;
18;C;2;1;2;0;0;0;1;1;1;1;3;;;;;;;;
18;D;2;1;2;0;0;0;1;1;1;3;3;;;;;;;;
18;A;3;1;2;2;0;0;1;1;1;3;3;;;;;;;;
18;B;3;1;2;2;0;0;1;1;1;3;3;;;;;;;;
18;C;3;1;2;2;0;0;1;1;1;3;3;;;;;;;;
18;D;3;1;2;2;0;0;1;1;1;3;3;;;;;;;;
18;A;4;1;2;2;0;0;1;1;1;3;3;;;;;;;;
18;B;4;1;2;2;0;0;1;1;1;3;3;;;;;;;;
18;C;4;1;2;2;0;0;1;1;1;3;3;;;;;;;;
18;D;4;1;2;2;0;0;1;1;1;3;3;;;;;;;;
18;A;5;1;2;1;0;0;1;1;0;0;2;;;;;;;;
18;B;5;1;2;1;0;0;1;1;0;0;2;;;;;;;;
18;C;5;1;2;1;0;0;1;1;1;3;2;;;;;;;;
18;D;5;1;2;1;0;0;1;1;0;0;2;;;;;;;;
18;A;6;3;2;1;2;0;1;1;0;0;2;;;;;;;;
18;D;7;3;2;1;2;2;0;0;0;0;1;;;;;;;;
18;A;8;3;2;1;0;0;0;0;0;0;2;;;;;;;;
18;D;9;3;2;1;2;1;0;0;0;0;2;;;;;;;;
18;A;10;3;2;1;1;1;0;0;0;0;2;;;;;;;;
19;B;1;1;2;0;0;0;1;1;0;0;2;;;;;;;;
19;C;1;1;2;0;0;0;1;1;1;5;2;;;;;;;;
19;B;2;1;2;0;0;0;1;1;0;0;2;;;;;;;;
19;C;2;1;2;0;0;0;1;1;1;4;2;;;;;;;;
19;B;3;1;2;2;0;0;1;1;0;0;2;;;;;;;;
19;C;3;1;2;2;0;0;1;1;0;0;2;;;;;;;;
19;D;3;1;2;2;0;0;1;1;0;0;2;;;;;;;;
19;A;4;1;2;2;0;0;1;1;0;0;2;;;;;;;;
19;B;4;1;2;2;0;0;1;1;0;0;2;;;;;;;;
19;C;4;1;2;2;0;0;1;1;0;0;2;;;;;;;;
19;D;4;1;2;2;0;0;1;1;0;0;2;;;;;;;;
19;A;5;2;2;2;0;0;1;1;0;0;2;;;;;;;;
19;B;5;2;2;2;0;0;1;1;0;0;2;;;;;;;;
19;C;5;1;2;2;0;0;1;1;0;0;2;;;;;;;;
19;D;5;1;2;2;0;0;1;1;0;0;2;;;;;;;;
19;A;6;3;2;2;0;0;1;1;0;0;2;;;;;;;;
19;B;6;3;2;2;0;0;1;0;0;0;2;;;;;;;;
19;C;6;3;2;2;0;0;1;1;0;0;2;;;;;;;;
19;D;6;2;2;2;0;0;0;0;0;0;2;;;;;;;;
19;A;7;3;2;1;0;0;0;0;0;0;2;;;;;;;;
19;B;7;3;2;1;0;0;0;0;0;0;2;;;;;;;;
19;C;7;3;1;1;0;0;0;0;0;0;2;;;;;;;;
19;D;7;3;1;1;0;0;0;0;0;0;2;;;;;;;;
19;A;8;3;2;1;2;2;0;0;0;0;2;;;;;;;;
19;D;8;3;2;1;2;2;0;0;0;0;2;;;;;;;;
19;A;9;3;2;1;2;2;0;0;0;0;2;;;;;;;;
19;D;9;3;2;1;2;2;0;0;0;0;2;;;;;;;;
19;A;10;3;2;1;2;2;0;0;0;0;2;;;;;;;;
19;D;10;3;2;1;0;1;0;0;0;0;1;;;;;;;;
19;A;11;3;2;1;1;1;0;0;0;0;1;;;;;;;;
19;D;11;2;2;1;1;1;0;0;0;0;1;;;;;;;;
19;A;12;3;2;1;1;1;0;0;0;0;1;;;;;;;;
19;D;12;2;2;1;1;1;0;0;0;0;2;;;;;;;;
19;A;13;2;2;1;1;1;0;0;0;0;1;;;;;;;;
19;D;13;2;2;1;1;1;0;0;0;0;1;;;;;;;;
19;A;14;2;0;1;1;1;0;0;1;5;1;;;;;;;;
19;D;14;2;2;1;1;1;0;0;0;0;1;;;;;;;;
19;A;15;2;2;1;1;1;0;0;0;0;1;;;;;;;;
19;D;15;2;2;1;1;1;0;0;0;0;1;;;;;;;;
19;A;16;3;2;1;1;1;0;0;0;0;1;;;;;;;;
19;D;16;2;2;1;1;1;0;0;0;0;1;;;;;;;;
19;A;17;3;2;1;1;1;0;0;0;0;1;;;;;;;;
19;D;17;2;2;1;1;1;0;0;0;0;1;;;;;;;;
19;A;18;2;2;1;1;1;0;0;0;0;1;;;;;;;;
19;D;18;2;2;1;1;1;0;0;0;0;1;;;;;;;;
20;A;1;1;0;0;0;0;1;1;1;4;2;;;;;;;;
20;B;1;1;2;0;0;0;1;1;1;4;2;;;;;;;;
20;C;1;1;0;0;0;0;1;1;1;4;2;;;;;;;;
20;D;1;1;2;0;0;0;1;1;1;4;2;;;;;;;;
20;A;2;1;2;0;0;0;1;1;0;0;2;;;;;;;;
20;B;2;1;2;0;0;0;1;1;0;0;2;;;;;;;;
20;C;2;1;2;0;0;0;1;1;1;4;2;;;;;;;;
20;D;2;1;2;0;0;0;1;1;1;4;2;;;;;;;;
20;A;3;1;2;2;0;0;1;1;0;0;2;;;;;;;;
20;B;3;1;2;2;0;0;1;1;0;0;2;;;;;;;;
20;C;3;1;2;2;0;0;1;1;0;0;2;;;;;;;;
20;D;3;1;2;2;0;0;1;1;0;0;2;;;;;;;;
20;A;4;1;2;2;0;0;1;1;0;0;2;;;;;;;;
20;B;4;1;2;2;0;0;1;1;0;0;2;;;;;;;;
20;C;4;1;2;2;0;0;1;1;0;0;2;;;;;;;;
