Gris ID;Sår ID;Dag;Længde (cm);Bredde (cm);Dybde (cm);Areal (cm^2);Sårrand (cm);Midte (cm);
;C;30;1.2;1.9;0;0.5625;0.6;0.5;
;D;30;0.7;0.4;;0.0198;0.7;0.5;
15;A;;;;;;;;
;B;;;;;;;;
;C;;;;;;;;
;D;;;;;;;;
16;A;30;1.1;1.4;0;0.6139;0.6;0.6;
;B;30;0.35;1.5;0;0.1438;0.6;0.5;
;C;30;0.5;0.3;0;0.0247;0.6;0.6;
;D;30;0.9;0.7;0;0.0408;0.6;0.6;
17;A;25;0.7;0.7;0;0.3388;0.8;0.8;
;B;25;1.1;1.8;0;2.3052;0.7;0.7;
;C;25;0.6;1.1;0;0.7066;0.5;0.5;
;D;25;1;1.6;0;1.2894;0.6;0.6;
18;A;25;2.2;2.9;;4.5041;0.6;0.6;
;B;25;1.8;2;;3.2958;0.6;0.4;
;C;25;2.4;2.2;;3.8789;0.6;0.5;
;D;25;0;0;0;0.0000;0.5;0.5;
19;A;25;1.18;2;0;0.3078;0.7;0.6;
;B;25;1.17;1.53;0;0.7870;0.7;0.6;
;C;25;1.15;1.05;0;0.2240;0.7;0.5;
;D;25;1.3;1.6;0;0.4130;0.6;0.5;
20;A;25;1.2;1.7;0;1.0212;0.8;0.7;
;B;25;1.25;1;0;0.6657;0.7;0.7;
;C;25;1.5;1.8;;1.1491;0.7;0.7;
;D;25;1.6;2;0;1.5588;0.7;0.7;
21;A;35;0;0;0;0.0000;0.6;0.5;
;B;35;0;0;0;0.0000;0.8;0.8;
;C;35;0;0;0;0.0000;0.6;0.6;
;D;35;0.4;0.1;0;0.1308;0.7;0.6;
22;A;35;0.9;1.1;0;0.2069;0.5;0.4;
;B;35;0.15;0.25;0;0.0000;0.5;0.4;
;C;35;1.5;1;0;0.6509;0.6;0.4;
;D;35;0;0;0;0.0000;0.5;0.5;
23;A;35;0.3;0.3;0;0.0215;0.5;0.4;
;B;35;1.3;0.9;0;0.4125;0.7;0.5;
;C;35;0;0;0;0.0000;0.5;0.5;
;D;35;0.65;1;0;0.0661;0.5;0.4;
24;A;35;0.7;0.7;0;0.2631;0.6;0.6;
;B;35;0;0;0;0.0000;0.6;0.6;
;C;35;0.9;1.4;0;0.1777;0.7;0.5;
;D;35;0.4;0.3;0;0.1120;0.7;0.7;
25;A;35;0.5;1;0;0.0000;0.5;0.5;
;B;35;0;0;0;0.0000;0.5;0.5;
;C;35;0.2;0.3;0;0.0000;0.5;0.5;
;D;35;0;0;0;0.0000;0.6;0.6;
26;A;35;0;0;0;0.0000;0.5;0.5;
;B;35;0;0;0;0.0000;0.5;0.5;
;C;35;0;0;0;0.0000;0.6;0.5;
;D;35;0;0;0;0.0000;0.4;0.4;
27;A;35;0;0;0;0.0000;0.4;0.5;
;B;35;0.1;0.4;0;0.0167;0.4;0.4;
;C;35;0;0;0;0.0000;0.4;0.4;
;D;35;0.7;0.8;0;0.1781;0.5;0.5;
28;A;30;0.5;0.4;0;0.2350;0.5;0.4;
;B;30;1.8;1.9;0;1.8992;0.5;0.5;
;C;30;1.5;2.8;;2.4683;0.6;0.5;
;D;30;0.8;1.5;0;0.5223;0.5;0.5;
29;A;30;0.3;1;0;0.0657;0.5;0.5;
;B;30;0.5;1;0;0.2090;0.6;0.6;
;C;30;0.5;0.3;0;0.0236;0.55;0.5;
;D;30;1.7;2.2;;2.1634;0.6;0.6;
30;A;30;2.8;3;;5.6634;0.6;0.6;
;B;30;2.8;2.5;0;3.3413;0.6;0.5;
;C;30;1.2;1.7;0;0.6199;0.55;0.5;
;D;30;2.1;2.5;0;1.8077;0.6;0.6;
31;A;25;0.5;1.1;0;0.2287;0.65;0.5;
;B;25;0.8;1.8;0;0.3467;0.6;0.5;
;C;25;1.7;2.5;0;3.0720;0.6;0.5;
;D;25;1.8;2.4;0;2.2394;0.6;0.6;
32;A;25;2.2;2.1;0;2.2237;0.6;0.5;
;B;25;1.2;1.6;0;1.2284;0.6;0.6;
;C;25;2.8;2.5;0;3.1382;0.6;0.6;
;D;25;1.9;2.1;0;1.4334;0.7;0.7;
33;A;25;1;2.2;0;1.0104;0.6;0.6;
;B;25;0.8;1.6;0;0.5944;0.65;0.55;
