Gris ID;Sår ID;Dag;Niveau sårvæv;Sårskorpe;Granulationsvæv;Epithelialisering;Kontraktion;Hyperæmi;Ødem;Eksudat;Eksudattype;Infektionsniveau;
5;D;2;1;0;0;0;0;1;1;1;1;2;
5;A;3;1;1;2;0;0;1;1;1;1;2;
5;B;3;1;1;2;0;0;1;1;0;0;2;
5;C;3;1;1;2;0;0;1;1;0;0;2;
5;D;3;1;0;2;0;0;1;1;1;1;2;
5;A;4;1;1;2;2;0;0;1;1;1;2;
5;B;4;1;2;2;2;0;0;1;0;0;2;
5;C;4;1;2;2;2;0;0;1;1;1;2;
5;D;4;1;2;2;2;0;0;1;0;0;2;
5;A;5;1;2;2;2;0;1;1;0;0;2;
5;B;5;2;2;2;2;0;1;1;0;0;2;
5;C;5;1;2;2;2;0;1;1;0;0;2;
5;D;5;1;2;2;2;0;1;1;0;0;2;
5;A;10;3;2;1;0;0;0;1;0;0;;
5;B;10;3;2;1;0;0;0;0;0;0;;
5;C;10;2;1;1;0;0;0;0;0;0;;
5;D;10;3;2;1;1;0;0;0;1;3;;
6;A;1;1;1;0;0;0;0;0;1;1;2;
6;B;1;1;0;0;0;0;0;1;0;0;2;
6;C;1;1;0;0;0;0;0;1;1;1;2;
6;D;1;1;0;0;0;0;0;1;1;1;2;
6;A;2;1;1;0;0;0;0;0;0;0;2;
6;B;2;1;0;0;0;0;1;1;0;0;2;
6;C;2;1;0;0;0;0;0;1;1;6;2;
6;D;2;1;0;0;0;0;1;1;1;1;2;
6;A;3;1;2;2;0;0;1;1;0;0;2;
6;B;3;1;1;2;0;0;1;1;1;1;2;
6;C;3;1;0;2;0;0;1;1;1;2;2;
6;D;3;1;1;2;0;0;1;1;1;1;2;
6;A;4;1;2;2;2;0;0;0;0;0;2;
6;B;4;1;2;2;2;0;0;1;1;1;2;
6;C;4;1;2;2;2;0;0;1;1;3;2;
6;D;4;1;2;2;2;0;0;1;1;3;2;
6;A;5;1;2;2;2;0;1;1;0;0;2;
6;B;5;1;2;1;2;0;1;0;0;0;2;
6;C;5;1;2;2;2;0;1;1;0;0;2;
6;D;5;1;2;2;2;0;1;1;0;0;2;
6;A;10;3;2;1;2;0;0;0;0;0;;
